01N01000000	Nc	Noun common	Noun Type=common
01N01000101	Nc-sn	Noun common singular nominative	Noun Type=common Number=singular Case=nominative
01N01000102	Nc-sg	Noun common singular genitive	Noun Type=common Number=singular Case=genitive
01N01000103	Nc-s1	Noun common singular partitive	Noun Type=common Number=singular Case=partitive
01N01000104	Nc-sx	Noun common singular illative	Noun Type=common Number=singular Case=illative
01N01000105	Nc-s2	Noun common singular inessive	Noun Type=common Number=singular Case=inessive
01N01000106	Nc-se	Noun common singular elative	Noun Type=common Number=singular Case=elative
01N01000107	Nc-st	Noun common singular allative	Noun Type=common Number=singular Case=allative
01N01000108	Nc-s3	Noun common singular adessive	Noun Type=common Number=singular Case=adessive
01N01000109	Nc-sb	Noun common singular ablative	Noun Type=common Number=singular Case=ablative
01N01000110	Nc-s4	Noun common singular translative	Noun Type=common Number=singular Case=translative
01N01000111	Nc-s9	Noun common singular terminative	Noun Type=common Number=singular Case=terminative
01N01000112	Nc-sw	Noun common singular essive	Noun Type=common Number=singular Case=essive
01N01000113	Nc-s5	Noun common singular abessive	Noun Type=common Number=singular Case=abessive
01N01000114	Nc-sk	Noun common singular komitative	Noun Type=common Number=singular Case=komitative
01N01000115	Nc-s7	Noun common singular aditive	Noun Type=common Number=singular Case=aditive
01N01000201	Nc-pn	Noun common plural nominative	Noun Type=common Number=plural Case=nominative
01N01000202	Nc-pg	Noun common plural genitive	Noun Type=common Number=plural Case=genitive
01N01000203	Nc-p1	Noun common plural partitive	Noun Type=common Number=plural Case=partitive
01N01000204	Nc-px	Noun common plural illative	Noun Type=common Number=plural Case=illative
01N01000205	Nc-p2	Noun common plural inessive	Noun Type=common Number=plural Case=inessive
01N01000206	Nc-pe	Noun common plural elative	Noun Type=common Number=plural Case=elative
01N01000207	Nc-pt	Noun common plural allative	Noun Type=common Number=plural Case=allative
01N01000208	Nc-p3	Noun common plural adessive	Noun Type=common Number=plural Case=adessive
01N01000209	Nc-pb	Noun common plural ablative	Noun Type=common Number=plural Case=ablative
01N01000210	Nc-p4	Noun common plural translative	Noun Type=common Number=plural Case=translative
01N01000211	Nc-p9	Noun common plural terminative	Noun Type=common Number=plural Case=terminative
01N01000212	Nc-pw	Noun common plural essive	Noun Type=common Number=plural Case=essive
01N01000213	Nc-p5	Noun common plural abessive	Noun Type=common Number=plural Case=abessive
01N01000214	Nc-pk	Noun common plural komitative	Noun Type=common Number=plural Case=komitative
01N02000101	Np-sn	Noun proper singular nominative	Noun Type=proper Number=singular Case=nominative
01N02000102	Np-sg	Noun proper singular genitive	Noun Type=proper Number=singular Case=genitive
01N02000103	Np-s1	Noun proper singular partitive	Noun Type=proper Number=singular Case=partitive
01N02000104	Np-sx	Noun proper singular illative	Noun Type=proper Number=singular Case=illative
01N02000105	Np-s2	Noun proper singular inessive	Noun Type=proper Number=singular Case=inessive
01N02000106	Np-se	Noun proper singular elative	Noun Type=proper Number=singular Case=elative
01N02000107	Np-st	Noun proper singular allative	Noun Type=proper Number=singular Case=allative
01N02000108	Np-s3	Noun proper singular adessive	Noun Type=proper Number=singular Case=adessive
01N02000109	Np-sb	Noun proper singular ablative	Noun Type=proper Number=singular Case=ablative
01N02000110	Np-s4	Noun proper singular translative	Noun Type=proper Number=singular Case=translative
01N02000111	Np-s9	Noun proper singular terminative	Noun Type=proper Number=singular Case=terminative
01N02000112	Np-sw	Noun proper singular essive	Noun Type=proper Number=singular Case=essive
