01N0100010000	Nc-s	Noun common singular	Noun Type=common Number=singular
01N0100010001	Nc-s-n	Noun common singular -Definiteness	Noun Type=common Number=singular Definiteness=no
01N0100010100	Nc-sg	Noun common singular genitive	Noun Type=common Number=singular Case=genitive
01N0100010102	Nc-sgy	Noun common singular genitive +Definiteness	Noun Type=common Number=singular Case=genitive Definiteness=yes
01N0100020000	Nc-p	Noun common plural	Noun Type=common Number=plural
01N0100020001	Nc-p-n	Noun common plural -Definiteness	Noun Type=common Number=plural Definiteness=no
01N0100020100	Nc-pg	Noun common plural genitive	Noun Type=common Number=plural Case=genitive
01N0200010002	Np-s-y	Noun proper singular +Definiteness	Noun Type=proper Number=singular Definiteness=yes
01N0200010102	Np-sgy	Noun proper singular genitive +Definiteness	Noun Type=proper Number=singular Case=genitive Definiteness=yes
02V01010101010000010000000000000102	Vmip1s--n------ny	Verb main indicative present first singular -Negative -Courtesy +Transitive	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Negative=no Courtesy=no Transitive=yes
02V01010101010000010001000000000101	Vmip1s--n-n----nn	Verb main indicative present first singular -Negative -Clitic -Courtesy -Transitive	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Negative=no Clitic=no Courtesy=no Transitive=no
02V01010101010000020000000000000101	Vmip1s--y------nn	Verb main indicative present first singular +Negative -Courtesy -Transitive	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Negative=yes Courtesy=no Transitive=no
02V01010101010000020000000000000102	Vmip1s--y------ny	Verb main indicative present first singular +Negative -Courtesy +Transitive	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Negative=yes Courtesy=no Transitive=yes
02V01010101020000010000000000000002	Vmip1p--n-------y	Verb main indicative present first plural -Negative +Transitive	Verb Type=main VForm=indicative Tense=present Person=first Number=plural Negative=no Transitive=yes
02V01010101020000010001000000000001	Vmip1p--n-n-----n	Verb main indicative present first plural -Negative -Clitic -Transitive	Verb Type=main VForm=indicative Tense=present Person=first Number=plural Negative=no Clitic=no Transitive=no
02V01010101020000020000000000000001	Vmip1p--y-------n	Verb main indicative present first plural +Negative -Transitive	Verb Type=main VForm=indicative Tense=present Person=first Number=plural Negative=yes Transitive=no
02V01010101020000020000000000000002	Vmip1p--y-------y	Verb main indicative present first plural +Negative +Transitive	Verb Type=main VForm=indicative Tense=present Person=first Number=plural Negative=yes Transitive=yes
02V01010102010000000002000000000100	Vmip2s----y----n	Verb main indicative present second singular +Clitic -Courtesy	Verb Type=main VForm=indicative Tense=present Person=second Number=singular Clitic=yes Courtesy=no
02V01010102010000010000000000000102	Vmip2s--n------ny	Verb main indicative present second singular -Negative -Courtesy +Transitive	Verb Type=main VForm=indicative Tense=present Person=second Number=singular Negative=no Courtesy=no Transitive=yes
02V01010102010000010000000000000202	Vmip2s--n------yy	Verb main indicative present second singular -Negative +Courtesy +Transitive	Verb Type=main VForm=indicative Tense=present Person=second Number=singular Negative=no Courtesy=yes Transitive=yes
02V01010102010000010001000000000101	Vmip2s--n-n----nn	Verb main indicative present second singular -Negative -Clitic -Courtesy -Transitive	Verb Type=main VForm=indicative Tense=present Person=second Number=singular Negative=no Clitic=no Courtesy=no Transitive=no
02V01010102010000020000000000000102	Vmip2s--y------ny	Verb main indicative present second singular +Negative -Courtesy +Transitive	Verb Type=main VForm=indicative Tense=present Person=second Number=singular Negative=yes Courtesy=no Transitive=yes
02V01010102010000020000000000000202	Vmip2s--y------yy	Verb main indicative present second singular +Negative +Courtesy +Transitive	Verb Type=main VForm=indicative Tense=present Person=second Number=singular Negative=yes Courtesy=yes Transitive=yes
02V01010102020000010000000000000002	Vmip2p--n-------y	Verb main indicative present second plural -Negative +Transitive	Verb Type=main VForm=indicative Tense=present Person=second Number=plural Negative=no Transitive=yes
02V01010102020000020000000000000002	Vmip2p--y-------y	Verb main indicative present second plural +Negative +Transitive	Verb Type=main VForm=indicative Tense=present Person=second Number=plural Negative=yes Transitive=yes
02V01010103010000000002000000000100	Vmip3s----y----n	Verb main indicative present third singular +Clitic -Courtesy	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Clitic=yes Courtesy=no
02V01010103010000010000000000000102	Vmip3s--n------ny	Verb main indicative present third singular -Negative -Courtesy +Transitive	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Negative=no Courtesy=no Transitive=yes
02V01010103010000010001000000000101	Vmip3s--n-n----nn	Verb main indicative present third singular -Negative -Clitic -Courtesy -Transitive	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Negative=no Clitic=no Courtesy=no Transitive=no
02V01010103010000020000000000000101	Vmip3s--y------nn	Verb main indicative present third singular +Negative -Courtesy -Transitive	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Negative=yes Courtesy=no Transitive=no
02V01010103010000020000000000000102	Vmip3s--y------ny	Verb main indicative present third singular +Negative -Courtesy +Transitive	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Negative=yes Courtesy=no Transitive=yes
