01N010000000100	Nc---n	Noun common -Definiteness	Noun Type=common Definiteness=no
01N010001000102	Nc-s-ny	Noun common singular -Definiteness +Clitic	Noun Type=common Number=singular Definiteness=no Clitic=yes
01N010100000100	Ncm--n	Noun common masculine -Definiteness	Noun Type=common Gender=masculine Definiteness=no
01N010101000100	Ncms-n	Noun common masculine singular -Definiteness	Noun Type=common Gender=masculine Number=singular Definiteness=no
01N010101000102	Ncms-ny	Noun common masculine singular -Definiteness +Clitic	Noun Type=common Gender=masculine Number=singular Definiteness=no Clitic=yes
01N010101010100	Ncmsvn	Noun common masculine singular vocative -Definiteness	Noun Type=common Gender=masculine Number=singular Case=vocative Definiteness=no
01N010101010102	Ncmsvny	Noun common masculine singular vocative -Definiteness +Clitic	Noun Type=common Gender=masculine Number=singular Case=vocative Definiteness=no Clitic=yes
01N010101010200	Ncmsvy	Noun common masculine singular vocative +Definiteness	Noun Type=common Gender=masculine Number=singular Case=vocative Definiteness=yes
01N010101020200	Ncmsry	Noun common masculine singular direct +Definiteness	Noun Type=common Gender=masculine Number=singular Case=direct Definiteness=yes
01N010101020202	Ncmsryy	Noun common masculine singular direct +Definiteness +Clitic	Noun Type=common Gender=masculine Number=singular Case=direct Definiteness=yes Clitic=yes
01N010101030200	Ncmsoy	Noun common masculine singular oblique +Definiteness	Noun Type=common Gender=masculine Number=singular Case=oblique Definiteness=yes
01N010101030202	Ncmsoyy	Noun common masculine singular oblique +Definiteness +Clitic	Noun Type=common Gender=masculine Number=singular Case=oblique Definiteness=yes Clitic=yes
01N010102000100	Ncmp-n	Noun common masculine plural -Definiteness	Noun Type=common Gender=masculine Number=plural Definiteness=no
01N010102000102	Ncmp-ny	Noun common masculine plural -Definiteness +Clitic	Noun Type=common Gender=masculine Number=plural Definiteness=no Clitic=yes
01N010102010200	Ncmpvy	Noun common masculine plural vocative +Definiteness	Noun Type=common Gender=masculine Number=plural Case=vocative Definiteness=yes
01N010102020200	Ncmpry	Noun common masculine plural direct +Definiteness	Noun Type=common Gender=masculine Number=plural Case=direct Definiteness=yes
01N010102020202	Ncmpryy	Noun common masculine plural direct +Definiteness +Clitic	Noun Type=common Gender=masculine Number=plural Case=direct Definiteness=yes Clitic=yes
01N010102030200	Ncmpoy	Noun common masculine plural oblique +Definiteness	Noun Type=common Gender=masculine Number=plural Case=oblique Definiteness=yes
01N010102030202	Ncmpoyy	Noun common masculine plural oblique +Definiteness +Clitic	Noun Type=common Gender=masculine Number=plural Case=oblique Definiteness=yes Clitic=yes
01N010200000100	Ncf--n	Noun common feminine -Definiteness	Noun Type=common Gender=feminine Definiteness=no
01N010200000102	Ncf--ny	Noun common feminine -Definiteness +Clitic	Noun Type=common Gender=feminine Definiteness=no Clitic=yes
01N010201000100	Ncfs-n	Noun common feminine singular -Definiteness	Noun Type=common Gender=feminine Number=singular Definiteness=no
01N010201010200	Ncfsvy	Noun common feminine singular vocative +Definiteness	Noun Type=common Gender=feminine Number=singular Case=vocative Definiteness=yes
01N010201020100	Ncfsrn	Noun common feminine singular direct -Definiteness	Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=no
01N010201020102	Ncfsrny	Noun common feminine singular direct -Definiteness +Clitic	Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=no Clitic=yes
01N010201020200	Ncfsry	Noun common feminine singular direct +Definiteness	Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=yes
01N010201020202	Ncfsryy	Noun common feminine singular direct +Definiteness +Clitic	Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=yes Clitic=yes
01N010201030100	Ncfson	Noun common feminine singular oblique -Definiteness	Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=no
