01N010000000000	Nc	Noun common	Noun Type=common
01N010002010000	Nc-pn	Noun common plural nominative	Noun Type=common Number=plural Case=nominative
01N010002020000	Nc-pg	Noun common plural genitive	Noun Type=common Number=plural Case=genitive
01N010002030000	Nc-pd	Noun common plural dative	Noun Type=common Number=plural Case=dative
01N010002040000	Nc-pa	Noun common plural accusative	Noun Type=common Number=plural Case=accusative
01N010002060000	Nc-pl	Noun common plural locative	Noun Type=common Number=plural Case=locative
01N010002070000	Nc-pi	Noun common plural instrumental	Noun Type=common Number=plural Case=instrumental
01N010101010100	Ncmsnn	Noun common masculine singular nominative -Animate	Noun Type=common Gender=masculine Number=singular Case=nominative Animate=no
01N010101010200	Ncmsny	Noun common masculine singular nominative +Animate	Noun Type=common Gender=masculine Number=singular Case=nominative Animate=yes
01N010101020100	Ncmsgn	Noun common masculine singular genitive -Animate	Noun Type=common Gender=masculine Number=singular Case=genitive Animate=no
01N010101020200	Ncmsgy	Noun common masculine singular genitive +Animate	Noun Type=common Gender=masculine Number=singular Case=genitive Animate=yes
01N010101030100	Ncmsdn	Noun common masculine singular dative -Animate	Noun Type=common Gender=masculine Number=singular Case=dative Animate=no
01N010101030200	Ncmsdy	Noun common masculine singular dative +Animate	Noun Type=common Gender=masculine Number=singular Case=dative Animate=yes
01N010101040100	Ncmsan	Noun common masculine singular accusative -Animate	Noun Type=common Gender=masculine Number=singular Case=accusative Animate=no
01N010101040200	Ncmsay	Noun common masculine singular accusative +Animate	Noun Type=common Gender=masculine Number=singular Case=accusative Animate=yes
01N010101050200	Ncmsvy	Noun common masculine singular vocative +Animate	Noun Type=common Gender=masculine Number=singular Case=vocative Animate=yes
01N010101060100	Ncmsln	Noun common masculine singular locative -Animate	Noun Type=common Gender=masculine Number=singular Case=locative Animate=no
01N010101060200	Ncmsly	Noun common masculine singular locative +Animate	Noun Type=common Gender=masculine Number=singular Case=locative Animate=yes
01N010101070100	Ncmsin	Noun common masculine singular instrumental -Animate	Noun Type=common Gender=masculine Number=singular Case=instrumental Animate=no
01N010101070200	Ncmsiy	Noun common masculine singular instrumental +Animate	Noun Type=common Gender=masculine Number=singular Case=instrumental Animate=yes
01N010102010100	Ncmpnn	Noun common masculine plural nominative -Animate	Noun Type=common Gender=masculine Number=plural Case=nominative Animate=no
01N010102010200	Ncmpny	Noun common masculine plural nominative +Animate	Noun Type=common Gender=masculine Number=plural Case=nominative Animate=yes
01N010102020100	Ncmpgn	Noun common masculine plural genitive -Animate	Noun Type=common Gender=masculine Number=plural Case=genitive Animate=no
01N010102020200	Ncmpgy	Noun common masculine plural genitive +Animate	Noun Type=common Gender=masculine Number=plural Case=genitive Animate=yes
01N010102030100	Ncmpdn	Noun common masculine plural dative -Animate	Noun Type=common Gender=masculine Number=plural Case=dative Animate=no
01N010102030200	Ncmpdy	Noun common masculine plural dative +Animate	Noun Type=common Gender=masculine Number=plural Case=dative Animate=yes
01N010102040100	Ncmpan	Noun common masculine plural accusative -Animate	Noun Type=common Gender=masculine Number=plural Case=accusative Animate=no
01N010102040200	Ncmpay	Noun common masculine plural accusative +Animate	Noun Type=common Gender=masculine Number=plural Case=accusative Animate=yes
01N010102060100	Ncmpln	Noun common masculine plural locative -Animate	Noun Type=common Gender=masculine Number=plural Case=locative Animate=no
01N010102060200	Ncmply	Noun common masculine plural locative +Animate	Noun Type=common Gender=masculine Number=plural Case=locative Animate=yes
01N010102070100	Ncmpin	Noun common masculine plural instrumental -Animate	Noun Type=common Gender=masculine Number=plural Case=instrumental Animate=no
01N010102070200	Ncmpiy	Noun common masculine plural instrumental +Animate	Noun Type=common Gender=masculine Number=plural Case=instrumental Animate=yes
01N010201010100	Ncfsnn	Noun common feminine singular nominative -Animate	Noun Type=common Gender=feminine Number=singular Case=nominative Animate=no
01N010201010200	Ncfsny	Noun common feminine singular nominative +Animate	Noun Type=common Gender=feminine Number=singular Case=nominative Animate=yes
01N010201020100	Ncfsgn	Noun common feminine singular genitive -Animate	Noun Type=common Gender=feminine Number=singular Case=genitive Animate=no
01N010201020200	Ncfsgy	Noun common feminine singular genitive +Animate	Noun Type=common Gender=feminine Number=singular Case=genitive Animate=yes
01N010201030100	Ncfsdn	Noun common feminine singular dative -Animate	Noun Type=common Gender=feminine Number=singular Case=dative Animate=no
01N010201030200	Ncfsdy	Noun common feminine singular dative +Animate	Noun Type=common Gender=feminine Number=singular Case=dative Animate=yes
01N010201040100	Ncfsan	Noun common feminine singular accusative -Animate	Noun Type=common Gender=feminine Number=singular Case=accusative Animate=no
01N010201040200	Ncfsay	Noun common feminine singular accusative +Animate	Noun Type=common Gender=feminine Number=singular Case=accusative Animate=yes
01N010201050200	Ncfsvy	Noun common feminine singular vocative +Animate	Noun Type=common Gender=feminine Number=singular Case=vocative Animate=yes
