01N01010000000000	Ncm	Noun common masculine	Noun Type=common Gender=masculine
01N01010100000000	Ncms	Noun common masculine singular	Noun Type=common Gender=masculine Number=singular
01N01010101000000	Ncmsn	Noun common masculine singular nominative	Noun Type=common Gender=masculine Number=singular Case=nominative
01N01010102000000	Ncmsg	Noun common masculine singular genitive	Noun Type=common Gender=masculine Number=singular Case=genitive
01N01010103000000	Ncmsd	Noun common masculine singular dative	Noun Type=common Gender=masculine Number=singular Case=dative
01N01010104000001	Ncmsa--n	Noun common masculine singular accusative -Animate	Noun Type=common Gender=masculine Number=singular Case=accusative Animate=no
01N01010104000002	Ncmsa--y	Noun common masculine singular accusative +Animate	Noun Type=common Gender=masculine Number=singular Case=accusative Animate=yes
01N01010105000000	Ncmsl	Noun common masculine singular locative	Noun Type=common Gender=masculine Number=singular Case=locative
01N01010106000000	Ncmsi	Noun common masculine singular instrumental	Noun Type=common Gender=masculine Number=singular Case=instrumental
01N01010201000000	Ncmpn	Noun common masculine plural nominative	Noun Type=common Gender=masculine Number=plural Case=nominative
01N01010202000000	Ncmpg	Noun common masculine plural genitive	Noun Type=common Gender=masculine Number=plural Case=genitive
01N01010203000000	Ncmpd	Noun common masculine plural dative	Noun Type=common Gender=masculine Number=plural Case=dative
01N01010204000000	Ncmpa	Noun common masculine plural accusative	Noun Type=common Gender=masculine Number=plural Case=accusative
01N01010205000000	Ncmpl	Noun common masculine plural locative	Noun Type=common Gender=masculine Number=plural Case=locative
01N01010206000000	Ncmpi	Noun common masculine plural instrumental	Noun Type=common Gender=masculine Number=plural Case=instrumental
01N01010301000000	Ncmdn	Noun common masculine dual nominative	Noun Type=common Gender=masculine Number=dual Case=nominative
01N01010304000000	Ncmda	Noun common masculine dual accusative	Noun Type=common Gender=masculine Number=dual Case=accusative
01N01020101000000	Ncfsn	Noun common feminine singular nominative	Noun Type=common Gender=feminine Number=singular Case=nominative
01N01020102000000	Ncfsg	Noun common feminine singular genitive	Noun Type=common Gender=feminine Number=singular Case=genitive
01N01020103000000	Ncfsd	Noun common feminine singular dative	Noun Type=common Gender=feminine Number=singular Case=dative
01N01020104000000	Ncfsa	Noun common feminine singular accusative	Noun Type=common Gender=feminine Number=singular Case=accusative
01N01020105000000	Ncfsl	Noun common feminine singular locative	Noun Type=common Gender=feminine Number=singular Case=locative
01N01020106000000	Ncfsi	Noun common feminine singular instrumental	Noun Type=common Gender=feminine Number=singular Case=instrumental
01N01020201000000	Ncfpn	Noun common feminine plural nominative	Noun Type=common Gender=feminine Number=plural Case=nominative
01N01020202000000	Ncfpg	Noun common feminine plural genitive	Noun Type=common Gender=feminine Number=plural Case=genitive
01N01020204000000	Ncfpa	Noun common feminine plural accusative	Noun Type=common Gender=feminine Number=plural Case=accusative
01N01020205000000	Ncfpl	Noun common feminine plural locative	Noun Type=common Gender=feminine Number=plural Case=locative
01N01020206000000	Ncfpi	Noun common feminine plural instrumental	Noun Type=common Gender=feminine Number=plural Case=instrumental
01N01020304000000	Ncfda	Noun common feminine dual accusative	Noun Type=common Gender=feminine Number=dual Case=accusative
01N01030101000000	Ncnsn	Noun common neuter singular nominative	Noun Type=common Gender=neuter Number=singular Case=nominative
01N01030102000000	Ncnsg	Noun common neuter singular genitive	Noun Type=common Gender=neuter Number=singular Case=genitive
01N01030103000000	Ncnsd	Noun common neuter singular dative	Noun Type=common Gender=neuter Number=singular Case=dative
01N01030104000001	Ncnsa--n	Noun common neuter singular accusative -Animate	Noun Type=common Gender=neuter Number=singular Case=accusative Animate=no
01N01030104000002	Ncnsa--y	Noun common neuter singular accusative +Animate	Noun Type=common Gender=neuter Number=singular Case=accusative Animate=yes
01N01030105000000	Ncnsl	Noun common neuter singular locative	Noun Type=common Gender=neuter Number=singular Case=locative
01N01030106000000	Ncnsi	Noun common neuter singular instrumental	Noun Type=common Gender=neuter Number=singular Case=instrumental
01N01030201000000	Ncnpn	Noun common neuter plural nominative	Noun Type=common Gender=neuter Number=plural Case=nominative
01N01030202000000	Ncnpg	Noun common neuter plural genitive	Noun Type=common Gender=neuter Number=plural Case=genitive
01N01030204000000	Ncnpa	Noun common neuter plural accusative	Noun Type=common Gender=neuter Number=plural Case=accusative
01N01030205000000	Ncnpl	Noun common neuter plural locative	Noun Type=common Gender=neuter Number=plural Case=locative
01N01030206000000	Ncnpi	Noun common neuter plural instrumental	Noun Type=common Gender=neuter Number=plural Case=instrumental
01N02010000000000	Npm	Noun proper masculine	Noun Type=proper Gender=masculine
01N02010101000000	Npmsn	Noun proper masculine singular nominative	Noun Type=proper Gender=masculine Number=singular Case=nominative
01N02010102000000	Npmsg	Noun proper masculine singular genitive	Noun Type=proper Gender=masculine Number=singular Case=genitive
01N02010103000000	Npmsd	Noun proper masculine singular dative	Noun Type=proper Gender=masculine Number=singular Case=dative
01N02010104000001	Npmsa--n	Noun proper masculine singular accusative -Animate	Noun Type=proper Gender=masculine Number=singular Case=accusative Animate=no
01N02010104000002	Npmsa--y	Noun proper masculine singular accusative +Animate	Noun Type=proper Gender=masculine Number=singular Case=accusative Animate=yes
01N02010105000000	Npmsl	Noun proper masculine singular locative	Noun Type=proper Gender=masculine Number=singular Case=locative
01N02010106000000	Npmsi	Noun proper masculine singular instrumental	Noun Type=proper Gender=masculine Number=singular Case=instrumental
01N02020101000000	Npfsn	Noun proper feminine singular nominative	Noun Type=proper Gender=feminine Number=singular Case=nominative
01N02020102000000	Npfsg	Noun proper feminine singular genitive	Noun Type=proper Gender=feminine Number=singular Case=genitive
01N02020104000000	Npfsa	Noun proper feminine singular accusative	Noun Type=proper Gender=feminine Number=singular Case=accusative
01N02020105000000	Npfsl	Noun proper feminine singular locative	Noun Type=proper Gender=feminine Number=singular Case=locative
02V010101010100000000000000000100	Vmip1s--------p	Verb main indicative present first singular progressive	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Aspect=progressive
02V010101010100000000000000000200	Vmip1s--------e	Verb main indicative present first singular perfective	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Aspect=perfective
02V010101010100000100000000000100	Vmip1s--n-----p	Verb main indicative present first singular -Negative progressive	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Negative=no Aspect=progressive
02V010101010100000100000000000200	Vmip1s--n-----e	Verb main indicative present first singular -Negative perfective	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Negative=no Aspect=perfective
02V010101010200000100000000000100	Vmip1p--n-----p	Verb main indicative present first plural -Negative progressive	Verb Type=main VForm=indicative Tense=present Person=first Number=plural Negative=no Aspect=progressive
02V010101020100000100000000000100	Vmip2s--n-----p	Verb main indicative present second singular -Negative progressive	Verb Type=main VForm=indicative Tense=present Person=second Number=singular Negative=no Aspect=progressive
02V010101020200000100000000000101	Vmip2p--n-----pn	Verb main indicative present second plural -Negative progressive -Courtesy	Verb Type=main VForm=indicative Tense=present Person=second Number=plural Negative=no Aspect=progressive Courtesy=no
02V010101020200000100000000000102	Vmip2p--n-----py	Verb main indicative present second plural -Negative progressive +Courtesy	Verb Type=main VForm=indicative Tense=present Person=second Number=plural Negative=no Aspect=progressive Courtesy=yes
02V010101020200000100000000000201	Vmip2p--n-----en	Verb main indicative present second plural -Negative perfective -Courtesy	Verb Type=main VForm=indicative Tense=present Person=second Number=plural Negative=no Aspect=perfective Courtesy=no
02V010101020200000200000000000102	Vmip2p--y-----py	Verb main indicative present second plural +Negative progressive +Courtesy	Verb Type=main VForm=indicative Tense=present Person=second Number=plural Negative=yes Aspect=progressive Courtesy=yes
02V010101020300000100000000000100	Vmip2d--n-----p	Verb main indicative present second dual -Negative progressive	Verb Type=main VForm=indicative Tense=present Person=second Number=dual Negative=no Aspect=progressive
02V010101030100000100000000000100	Vmip3s--n-----p	Verb main indicative present third singular -Negative progressive	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Negative=no Aspect=progressive
02V010101030100000100000000000200	Vmip3s--n-----e	Verb main indicative present third singular -Negative perfective	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Negative=no Aspect=perfective
02V010101030100000200000000000100	Vmip3s--y-----p	Verb main indicative present third singular +Negative progressive	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Negative=yes Aspect=progressive
02V010101030200000100000000000100	Vmip3p--n-----p	Verb main indicative present third plural -Negative progressive	Verb Type=main VForm=indicative Tense=present Person=third Number=plural Negative=no Aspect=progressive
02V010101030200000100000000000200	Vmip3p--n-----e	Verb main indicative present third plural -Negative perfective	Verb Type=main VForm=indicative Tense=present Person=third Number=plural Negative=no Aspect=perfective
