01N01000000000000	Nc	Noun common	Noun Type=common
01N01000002000000	Nc--g	Noun common genitive	Noun Type=common Case=genitive
01N01000100000000	Nc-s	Noun common singular	Noun Type=common Number=singular
01N01010000000000	Ncm	Noun common masculine	Noun Type=common Gender=masculine
01N01010000000001	Ncm----n	Noun common masculine -Animate	Noun Type=common Gender=masculine Animate=no
01N01010000000002	Ncm----y	Noun common masculine +Animate	Noun Type=common Gender=masculine Animate=yes
01N01010001000000	Ncm-n	Noun common masculine nominative	Noun Type=common Gender=masculine Case=nominative
01N01010001000001	Ncm-n--n	Noun common masculine nominative -Animate	Noun Type=common Gender=masculine Case=nominative Animate=no
01N01010001000002	Ncm-n--y	Noun common masculine nominative +Animate	Noun Type=common Gender=masculine Case=nominative Animate=yes
01N01010002000001	Ncm-g--n	Noun common masculine genitive -Animate	Noun Type=common Gender=masculine Case=genitive Animate=no
01N01010002000002	Ncm-g--y	Noun common masculine genitive +Animate	Noun Type=common Gender=masculine Case=genitive Animate=yes
01N01010004000000	Ncm-a	Noun common masculine accusative	Noun Type=common Gender=masculine Case=accusative
01N01010004000001	Ncm-a--n	Noun common masculine accusative -Animate	Noun Type=common Gender=masculine Case=accusative Animate=no
01N01010101000000	Ncmsn	Noun common masculine singular nominative	Noun Type=common Gender=masculine Number=singular Case=nominative
01N01010101000001	Ncmsn--n	Noun common masculine singular nominative -Animate	Noun Type=common Gender=masculine Number=singular Case=nominative Animate=no
01N01010101000002	Ncmsn--y	Noun common masculine singular nominative +Animate	Noun Type=common Gender=masculine Number=singular Case=nominative Animate=yes
01N01010102000000	Ncmsg	Noun common masculine singular genitive	Noun Type=common Gender=masculine Number=singular Case=genitive
01N01010102000001	Ncmsg--n	Noun common masculine singular genitive -Animate	Noun Type=common Gender=masculine Number=singular Case=genitive Animate=no
01N01010102000002	Ncmsg--y	Noun common masculine singular genitive +Animate	Noun Type=common Gender=masculine Number=singular Case=genitive Animate=yes
01N01010103000001	Ncmsd--n	Noun common masculine singular dative -Animate	Noun Type=common Gender=masculine Number=singular Case=dative Animate=no
01N01010103000002	Ncmsd--y	Noun common masculine singular dative +Animate	Noun Type=common Gender=masculine Number=singular Case=dative Animate=yes
01N01010104000000	Ncmsa	Noun common masculine singular accusative	Noun Type=common Gender=masculine Number=singular Case=accusative
01N01010104000001	Ncmsa--n	Noun common masculine singular accusative -Animate	Noun Type=common Gender=masculine Number=singular Case=accusative Animate=no
01N01010104000002	Ncmsa--y	Noun common masculine singular accusative +Animate	Noun Type=common Gender=masculine Number=singular Case=accusative Animate=yes
01N01010105000001	Ncmsv--n	Noun common masculine singular vocative -Animate	Noun Type=common Gender=masculine Number=singular Case=vocative Animate=no
01N01010105000002	Ncmsv--y	Noun common masculine singular vocative +Animate	Noun Type=common Gender=masculine Number=singular Case=vocative Animate=yes
01N01010106000000	Ncmsl	Noun common masculine singular locative	Noun Type=common Gender=masculine Number=singular Case=locative
01N01010106000001	Ncmsl--n	Noun common masculine singular locative -Animate	Noun Type=common Gender=masculine Number=singular Case=locative Animate=no
01N01010106000002	Ncmsl--y	Noun common masculine singular locative +Animate	Noun Type=common Gender=masculine Number=singular Case=locative Animate=yes
01N01010107000000	Ncmsi	Noun common masculine singular instrumental	Noun Type=common Gender=masculine Number=singular Case=instrumental
01N01010107000001	Ncmsi--n	Noun common masculine singular instrumental -Animate	Noun Type=common Gender=masculine Number=singular Case=instrumental Animate=no
01N01010107000002	Ncmsi--y	Noun common masculine singular instrumental +Animate	Noun Type=common Gender=masculine Number=singular Case=instrumental Animate=yes
01N01010200000000	Ncmp	Noun common masculine plural	Noun Type=common Gender=masculine Number=plural
01N01010201000000	Ncmpn	Noun common masculine plural nominative	Noun Type=common Gender=masculine Number=plural Case=nominative
01N01010201000001	Ncmpn--n	Noun common masculine plural nominative -Animate	Noun Type=common Gender=masculine Number=plural Case=nominative Animate=no
01N01010201000002	Ncmpn--y	Noun common masculine plural nominative +Animate	Noun Type=common Gender=masculine Number=plural Case=nominative Animate=yes
01N01010202000000	Ncmpg	Noun common masculine plural genitive	Noun Type=common Gender=masculine Number=plural Case=genitive
01N01010202000001	Ncmpg--n	Noun common masculine plural genitive -Animate	Noun Type=common Gender=masculine Number=plural Case=genitive Animate=no
01N01010202000002	Ncmpg--y	Noun common masculine plural genitive +Animate	Noun Type=common Gender=masculine Number=plural Case=genitive Animate=yes
01N01010203000001	Ncmpd--n	Noun common masculine plural dative -Animate	Noun Type=common Gender=masculine Number=plural Case=dative Animate=no
01N01010203000002	Ncmpd--y	Noun common masculine plural dative +Animate	Noun Type=common Gender=masculine Number=plural Case=dative Animate=yes
01N01010204000000	Ncmpa	Noun common masculine plural accusative	Noun Type=common Gender=masculine Number=plural Case=accusative
01N01010204000001	Ncmpa--n	Noun common masculine plural accusative -Animate	Noun Type=common Gender=masculine Number=plural Case=accusative Animate=no
01N01010204000002	Ncmpa--y	Noun common masculine plural accusative +Animate	Noun Type=common Gender=masculine Number=plural Case=accusative Animate=yes
01N01010205000001	Ncmpv--n	Noun common masculine plural vocative -Animate	Noun Type=common Gender=masculine Number=plural Case=vocative Animate=no
01N01010205000002	Ncmpv--y	Noun common masculine plural vocative +Animate	Noun Type=common Gender=masculine Number=plural Case=vocative Animate=yes
01N01010206000001	Ncmpl--n	Noun common masculine plural locative -Animate	Noun Type=common Gender=masculine Number=plural Case=locative Animate=no
01N01010206000002	Ncmpl--y	Noun common masculine plural locative +Animate	Noun Type=common Gender=masculine Number=plural Case=locative Animate=yes
01N01010207000001	Ncmpi--n	Noun common masculine plural instrumental -Animate	Noun Type=common Gender=masculine Number=plural Case=instrumental Animate=no
