nagyobbakban	nagy	Afc-p2	1
￼	￼	Afc-p2------p	1
￼	￼	Afc-p2------s	1
￼	￼	Afc-p2----p1	1
￼	￼	Afc-p2----p1p	1
￼	￼	Afc-p2----p1s	1
￼	￼	Afc-p2----p2	1
￼	￼	Afc-p2----p2p	1
￼	￼	Afc-p2----p2s	1
￼	￼	Afc-p2----p3	1
￼	￼	Afc-p2----p3p	1
￼	￼	Afc-p2----p3s	1
￼	￼	Afc-p2----s1	1
￼	￼	Afc-p2----s1p	1
￼	￼	Afc-p2----s1s	1
￼	￼	Afc-p2----s2	1
￼	￼	Afc-p2----s2p	1
￼	￼	Afc-p2----s2s	1
￼	￼	Afc-p2----s3	1
￼	￼	Afc-p2----s3p	1
￼	￼	Afc-p2----s3s	1
￼	￼	Afc-p3	1
￼	￼	Afc-p3------p	1
￼	￼	Afc-p3------s	1
￼	￼	Afc-p3----p1	1
￼	￼	Afc-p3----p1p	1
￼	￼	Afc-p3----p1s	1
￼	￼	Afc-p3----p2	1
￼	￼	Afc-p3----p2p	1
￼	￼	Afc-p3----p2s	1
￼	￼	Afc-p3----p3	1
￼	￼	Afc-p3----p3p	1
￼	￼	Afc-p3----p3s	1
￼	￼	Afc-p3----s1	1
￼	￼	Afc-p3----s1p	1
￼	￼	Afc-p3----s1s	1
￼	￼	Afc-p3----s2	1
￼	￼	Afc-p3----s2p	1
￼	￼	Afc-p3----s2s	1
￼	￼	Afc-p3----s3	1
￼	￼	Afc-p3----s3p	1
￼	￼	Afc-p3----s3s	1
￼	￼	Afc-p9	1
￼	￼	Afc-p9------p	1
￼	￼	Afc-p9------s	1
￼	￼	Afc-p9----p1	1
￼	￼	Afc-p9----p1p	1
￼	￼	Afc-p9----p1s	1
￼	￼	Afc-p9----p2	1
￼	￼	Afc-p9----p2p	1
￼	￼	Afc-p9----p2s	1
￼	￼	Afc-p9----p3	1
￼	￼	Afc-p9----p3p	1
￼	￼	Afc-p9----p3s	1
￼	￼	Afc-p9----s1	1
￼	￼	Afc-p9----s1p	1
￼	￼	Afc-p9----s1s	1
￼	￼	Afc-p9----s2	1
￼	￼	Afc-p9----s2p	1
￼	￼	Afc-p9----s2s	1
￼	￼	Afc-p9----s3	1
￼	￼	Afc-p9----s3p	1
