vinzha	vinči	Afcfsn	1
vénci	vilek	Afcmsn	3
staraisi	stär	Afcmsn	3
mlaisi	mlad	Afcmsn	3
lípce	lip	Afcnsa--n	1
bujše	bujši	Afcnsn	1
ver	vër	Afp	3
kontent	kontent	Afp	3
cert	čert	Afp	3
šolbaške	solbaški	Afpfda	1
Sveti	svet	Afpfpa	3
druhe	drügi	Afpfpa	3
drüge	drügi	Afpfpa	3
sadgne	zadnji	Afpfpn	3
furlanske	furlanski	Afpfpn	3
dobre	dobar	Afpfpn	3
sweto	svet	Afpfsa	3
Sveto	svet	Afpfsa	3
Dolorano	dolorän	Afpfsa	3
slabo	släb	Afpfsan	1
Sveti	svet	Afpfsd	2
Romanchi	romanjski	Afpfsd	2
Svete	svet	Afpfsg	2
shurigne	zurinji	Afpfsg	2
sveto	svet	Afpfsi	3
samo	sam	Afpfsi	3
merzlo	zmärzal	Afpfsi	3
Villichj	vilek	Afpfsl	3
tesni	tesni	Afpfsl	3
tesniey	tesni	Afpfsl	3
Sveta	svet	Afpfsn	3
punczaha	punčak	Afpfsn	3
Dolorozna	dolorozan	Afpfsn	3
tožna	tožan	Afpmdn	1
sve	swöj	Afpmpa	3
strasne	štrašan	Afpmpa	3
martve	märtuw	Afpmpa	3
porazhanin	poračan	Afpmpd	2
dobrim	dobar	Afpmpd	2
zbranih	zbrän	Afpmpg	3
Svetih	sveti	Afpmpg	3
svetih	svet	Afpmpg	3
saplaçhiní	zaplaćën	Afpmpgn	1
gardimi	gärd	Afpmpi	1
Svetih	svet	Afpmpl	1
veliki	vilek	Afpmpn	3
toshni	tožan	Afpmpn	3
legri	legro	Afpmpn	3
näšnji	näšnji	Afpmsa--n	2
dalesgni	dalëčnji	Afpmsa--n	2
sladkega	sladak	Afpmsa--y	3
kunvirtínaga	kunvirten	Afpmsa--y	3
blishgnaha	blïžnji	Afpmsa--y	3
dobar	dobar	Afpmsan-n	1
shihnani	žignan	Afpmsay-n	1
visachimù	visök	Afpmsd	3
druhomu	drügi	Afpmsd	3
druhemu	drügi	Afpmsd	3
swetaha	svet	Afpmsg	2
Svetaha	svet	Afpmsg	2
sam	sam	Afpmsnn	3
oblejan	oblajän	Afpmsnn	3
moćan	möćan	Afpmsnn	3
sami	sam	Afpmsny	3
Rozajanski	rozajanski	Afpmsny	3
delečni	dalëčnji	Afpmsny	3
smilne	smïlan	Afpnpa	1
sughimi	süh	Afpnpi	1
túlstaga	tulst	Afpnsa--y	2
tulstaga	tulst	Afpnsa--y	2
niškë	niški	Afpnsan-n	3
malu	mäl	Afpnsan-n	3
furlanskë	furlanski	Afpnsan-n	3
tulste	tulst	Afpnsay-n	2
dobre	dobar	Afpnsay-n	2
húdega	hüd	Afpnsg	3
hudaha	hüd	Afpnsg	3
chrivaha	krïw	Afpnsg	3
tardim	tärd	Afpnsi	1
rozajanskin	rozajanski	Afpnsl	2
Chrishtianschin	krištijanski	Afpnsl	2
tosno	tožan	Afpnsnn	3
sveti	svet	Afpnsnn	3
löpu	lip	Afpnsnn	3
Svete	svet	Afpnsny	1
Santiſsim	šantišim	Afs	1
Santiſsima	šantišim	Afsfsn	3
Santissima	šantišim	Afsfsn	3
Santiſshima	šantišim	Afsfsn	3
najlipsi	lip	Afsmsa--n	1
tarnouo	tärnuw	Aopfsi	1
Bohovij	böguw	Aopfsl	2
Bohavei	böguw	Aopfsl	2
nebeška	nabëški	Aopfsn	3
Jurinawa	jürinuw	Aopfsn	3
Jesusoua	jëžušuw	Aopfsn	3
Ježušova	jëžušuw	Aopmdn	1
Bohove	böguw	Aopmpa	1
Bohovih	böguw	Aopmpg	2
bögavi	böguw	Aopmpg	2
Bohovih	böguw	Aopmpl	1
wsakiedennie	wsakidinji	Aopmsa--n	3
uvsachidigni	wsakidinji	Aopmsa--n	3
ussáke_dögne	wsakidinji	Aopmsa--n	3
božjega	böžji	Aopmsa--y	1
Bohouv	böguw	Aopmsan-n	1
Nazarenskaha	nazarenski	Aopmsg	2
Bohovaha	böguw	Aopmsg	2
Bohuvin	böguw	Aopmsl	2
Bohovin	böguw	Aopmsl	2
Boshij	böžji	Aopmsny	1
Erove	jëruw	Aopnsny	1
prit_nikoj	pridniköj	Ccc	1
tácui	takoj	Ccs	3
anu	anu	Ccs	3
ano	anu	Ccs	3
sauvocha	zawojoka	Csc	3
sa_ito_kir	zajtökir	Csc	3
mabej	mabej	Csc	3
k	ka	Css	3
k’	ka	Css	3
kir	kir	Css	3
Oh	ö	I	3
oh	ö	I	3
Giò	ǵö	I	3
5	pet	Mc---d	3
32	trïstinudwa	Mc---d	3
12	dwanijst	Mc---d	3
starkrat_duísti_anu_dévatnist	štirkratdwistinudëvatnist	Mc-p-l	3
šesterdov	šastardu	Mc-p-l	3
Sedan	sëdan	Mc-p-l	3
treh	trïji	Mc-pgl	1
treh	trïji	Mc-pll	1
dvi	dwa	Mcfdal	1
tri	trïji	Mcfpal	1
trì	trïji	Mcfpnl	3
tri	trïji	Mcfpnl	3
shtiri	štirji	Mcfpnl	3
dnó	dän	Mcfsal	1
dnej	dän	Mcfsdl	1
nò	dän	Mcfsil	1
dnej	dän	Mcfsll	1
dna	dän	Mcfsnl	1
dua	dwa	Mcmdal	1
dua	dwa	Mcmdnl	1
tri	trïji	Mcmpnl	2
trij	trïji	Mcmpnl	2
noga	dän	Mcmsal---y	2
dnohà	dän	Mcmsal---y	2
dan	dän	Mcmsnl	1
sehont	sagont	Mo---l	2
sehond	sagont	Mo---l	2
pärvih	pärvi	Mofpgl	1
parve	pärvi	Mofsgl	1
tretgna	trëtnji	Mofsnl	3
prwa	pärvi	Mofsnl	3
paruva	pärvi	Mofsnl	3
tretni	trëtnji	Momsal---n	2
tretgni	trëtnji	Momsal---n	2
tretnji	trëtnji	Momsnl	3
parvi	pärvi	Momsnl	3
parve	pärvi	Momsnl	3
zanè	žanä	Ncfda	1
ráme	rama	Ncfpa	3
dobrute	dubruta	Ncfpa	3
dikle	dikla	Ncfpa	3
sulzí	sulza	Ncfpg	3
šćarì	hćï	Ncfpg	3
Persun	parsuna	Ncfpg	3
shanami	žanä	Ncfpi	3
Persunami	parsuna	Ncfpi	3
kitinami	këtina	Ncfpi	3
persunah	parsuna	Ncfpl	2
besideh	bisida	Ncfpl	2
reči	rič	Ncfpn	3
munije	münija	Ncfpn	3
costi	kust	Ncfpn	3
oro	ora	Ncfsa	3
nadejo	nadëja	Ncfsa	3
fiesto	fjëšta	Ncfsa	3
hisi	hïša	Ncfsd	3
fameje	fameja	Ncfsd	3
dušici	dušïca	Ncfsd	3
smarti	smärt	Ncfsg	3
Oshtie	oštja	Ncfsg	3
hisa	hïša	Ncfsg	3
wodo	wöda	Ncfsi	3
virtudijo	virtud	Ncfsi	3
rabio	rabja	Ncfsi	3
zimièu	zëmja	Ncfsl	3
teraze	teraca	Ncfsl	3
hrazij	gračja	Ncfsl	3
volontát	volontad	Ncfsn	3
fameja	fameja	Ncfsn	3
dikla	dikla	Ncfsn	3
Qutri	kwatri	Ncm	1
sinu	sïn	Ncmda	1
Misteriha	mišterih	Ncmdn	2
discépula	dišepul	Ncmdn	2
ospodine	guspuden	Ncmpa	3
dúlg’he	dulg	Ncmpa	3
dialëte	dijalët	Ncmpa	3
inimigen	inimïg	Ncmpd	3
dužnikaên	dužnïk	Ncmpd	3
dulsnichen	dužnïk	Ncmpd	3
potečajov	potečaj	Ncmpg	3
dní	din	Ncmpg	3
becew	beč	Ncmpg	3
judmi	jüdi	Ncmpi	3
istriki	štrïk	Ncmpi	3
hriſsi	grih	Ncmpi	3
tromentih	torment	Ncmpl	3
Sacraminteh	srament	Ncmpl	3
Comandatmiteh	komandament	Ncmpl	3
sinuvi	sïn	Ncmpn	3
romoni	romon	Ncmpn	3
grisniki	grišnik	Ncmpn	3
spasima	spasim	Ncms	1
pírsten	pärstën	Ncmsa--n	3
par	par	Ncmsa--n	3
kruck	kroh	Ncmsa--n	3
sina	sïn	Ncmsa--y	3
faméja	famëj	Ncmsa--y	3
era	jëru	Ncmsa--y	3
uçhí	oćä	Ncmsd	3
hrodu	hrod	Ncmsd	3
Bohù	bug	Ncmsd	3
žuotá	žwöt	Ncmsg	3
timpa	temp	Ncmsg	3
časa	čäs	Ncmsg	3
ospodinon	guspuden	Ncmsi	3
kričofižon	kričofïž	Ncmsi	3
Bohon	bug	Ncmsi	3
timpu	temp	Ncmsl	3
shvote	žwöt	Ncmsl	3
Paravishe	paravïž	Ncmsl	3
sin	sïn	Ncmsn	3
Ogia	oćä	Ncmsn	3
delavec	dëlavac	Ncmsn	3
pisma	pïsmu	Ncnpa	3
lita	lëtu	Ncnpa	3
colina	kolënu	Ncnpa	3
očú	öku	Ncnpg	3
lít	lëtu	Ncnpg	3
lit	lëtu	Ncnpg	3
ozhmi	öku	Ncnpi	1
pismeh	pïsmu	Ncnpl	3
mestagh	mëstu	Ncnpl	3
dileh	dëlu	Ncnpl	3
oči	öku	Ncnpn	1
ublicílu	ubličïlu	Ncnsa--n	3
nöbbe	nëbë	Ncnsa--n	3
jajcè	jajcë	Ncnsa--n	3
taléta	tale	Ncnsa--y	2
taleta	tale	Ncnsa--y	2
nebu	nëbë	Ncnsd	1
sardca	särcë	Ncnsg	3
Nebba	nëbë	Ncnsg	3
Neba	nëbë	Ncnsg	3
mysom	misu	Ncnsi	3
mison	misu	Ncnsi	3
imenom	jïmë	Ncnsi	3
nöbbe	nëbë	Ncnsl	3
nebe	nëbë	Ncnsl	3
Nebbe	nëbë	Ncnsl	3
imme	jïmë	Ncnsn	3
ime	jïmë	Ncnsn	3
delo	dëlu	Ncnsn	3
Mario	marïja	Npfsa	2
Elisabeto	elizabeta	Npfsa	2
Rezije	rezija	Npfsg	3
Marie	marïja	Npfsg	3
Eve	eva	Npfsg	3
Reziji	rezija	Npfsl	3
Rezije	rezija	Npfsl	3
Ravanci	ravanca	Npfsl	3
Marija	marïja	Npfsn	2
Maria	marïja	Npfsn	2
Kalvarii	kalvarij	Npm	3
Giesù	ǵežu	Npm	3
Calvarj	kalvarij	Npm	3
Rim	rim	Npmsa--n	3
Kalvorih	kalvarih	Npmsa--n	3
Jeruzalem	jeruzalem	Npmsa--n	3
Jezuša	jëžuš	Npmsa--y	3
Crishtusha	krïštuš	Npmsa--y	3
Christusa	krïštuš	Npmsa--y	3
Simeunu	šimeun	Npmsd	3
Kristušu	krïštuš	Npmsd	3
Kalvariu	kalvarih	Npmsd	3
Jesusa	jëžuš	Npmsg	3
Jeruzalima	jeruzalem	Npmsg	3
Crishtusha	krïštuš	Npmsg	3
Kristušon	krïštuš	Npmsi	3
Dapiton	dapit	Npmsi	3
Christusam	krïštuš	Npmsi	3
Vïdnë	vïdan	Npmsl	3
Rime	rim	Npmsl	3
Jeruzalimu	jeruzalem	Npmsl	3
Jesus	jëžuš	Npmsn	3
jesus	jëžuš	Npmsn	3
Emaus	emaus	Npmsn	3
te	iti	Pd-fpa----a	1
te	iti	Pd-fpg----a	2
seh	isi	Pd-fpg----a	2
semi	isi	Pd-fpi----a	1
te	iti	Pd-fpn----a	3
Sè	isi	Pd-fpn----a	3
ise	isi	Pd-fpn----a	3
ito	iti	Pd-fsa----a	3
isó	isi	Pd-fsa----a	3
iso	isi	Pd-fsa----a	3
ti	iti	Pd-fsl----a	1
isà	isi	Pd-fsn----a	2
isa	isi	Pd-fsn----a	2
Isa	isi	Pd-fsn----n	1
sema	isi	Pd-mdi----n	1
isè	isi	Pd-mpa----a	1
ite	iti	Pd-mpa----n	1
itën	iti	Pd-mpd----n	1
si	isi	Pd-mpn----a	1
Ti	iti	Pd-mpn----n	2
ti	iti	Pd-mpn----n	2
tè	iti	Pd-msa----a-n	3
ite	iti	Pd-msa----a-n	3
etej	iti	Pd-msa----a-n	3
iti	iti	Pd-msa----n-n	2
ite	iti	Pd-msa----n-n	2
itoga	iti	Pd-msg----a	1
itin	iti	Pd-msl----a	2
itim	iti	Pd-msl----a	2
isi	isi	Pd-msn----a	3
isè	isi	Pd-msn----a	3
ise	isi	Pd-msn----a	3
Se	isi	Pd-msn----n	2
iti	iti	Pd-msn----n	2
Itè	iti	Pd-npa----a	1
tih	iti	Pd-npl----a	1
tò	iti	Pd-nsa----a-n	3
take	taki	Pd-nsa----a-n	3
isó	isi	Pd-nsa----a-n	3
ito	iti	Pd-nsa----n-n	2
isó	isi	Pd-nsa----n-n	2
tagha	iti	Pd-nsg----a	1
tega	iti	Pd-nsg----n	2
itoha	iti	Pd-nsg----n	2
to	iti	Pd-nsn----n	3
Iso	isi	Pd-nsn----n	3
iso	isi	Pd-nsn----n	3
ishtes	ištës	Pg--------a	1
vse	väs	Pg-fpa----a	3
ussé	väs	Pg-fpa----a	3
use	väs	Pg-fpa----a	3
useh	väs	Pg-fpl----a	1
uvsè	väs	Pg-fpn----a	3
use	väs	Pg-fpn----a	3
nenke	nenki	Pg-fpn----a	3
wso	väs	Pg-fsa----a	3
uso	väs	Pg-fsa----a	3
usako	wsak	Pg-fsa----a	3
vse	väs	Pg-fsg----a	1
uvsacho	wsak	Pg-fsi----a	2
uso	väs	Pg-fsi----a	2
uvsachi	wsak	Pg-fsl----a	1
usaki	wsak	Pg-fsl----n	1
uvsà	väs	Pg-fsn----a	1
usacha	wsak	Pg-fsn----n	1
uvse	väs	Pg-mpa----a	1
Vsem	väs	Pg-mpd----a	1
vsih	väs	Pg-mpg----a	2
vseh	väs	Pg-mpg----a	2
usih	väs	Pg-mpg----n	1
usemi	väs	Pg-mpi----a	1
ussi	väs	Pg-mpn----a	3
use	väs	Pg-mpn----a	3
sami	sam	Pg-mpn----a	3
Usi	väs	Pg-mpn----n	2
usi	väs	Pg-mpn----n	2
ves	väs	Pg-msa----a-n	1
sam_ha	sam	Pg-msa----a-y	3
samega	sam	Pg-msa----a-y	3
samaha	sam	Pg-msa----a-y	3
usaki	wsak	Pg-msa----ayn	1
uvsen	väs	Pg-msl----a	2
usachin	wsak	Pg-msl----a	2
wsak	wsak	Pg-msn----an	3
Uas	väs	Pg-msn----an	3
san	sam	Pg-msn----an	3
sam	sam	Pg-msn----nn	1
useh	väs	Pg-npl----a	1
vusè	väs	Pg-nsa----a-n	3
vse	väs	Pg-nsa----a-n	3
Uvsè	väs	Pg-nsa----a-n	3
wsie	väs	Pg-nsa----n-n	3
uvsè	väs	Pg-nsa----n-n	3
use	väs	Pg-nsa----n-n	3
usiha	väs	Pg-nsg----a	1
takaha	itak	Pg-nsg----n	1
usim	väs	Pg-nsi----a	2
sarzam	särcë	Pg-nsi----a	2
vuaschin	wsak	Pg-nsl----a	2
uvsachin	wsak	Pg-nsl----a	2
ussé	väs	Pg-nsn----a	2
usse	väs	Pg-nsn----a	2
Use	väs	Pg-nsn----n	2
use	väs	Pg-nsn----n	2
kej	kej	Pi---a----n	1
chira	kiri	Pi-fsn----n	1
cach	kak	Pi-msa----a	1
dnumu	dän	Pi-msd----n	1
kiri	kiri	Pi-msn----a	1
dan	dän	Pi-msn----n	1
kako	kak	Pi-nsa----ann	1
naju	mïdwa	Pp1-da--n-n	1
nama	mïdwa	Pp1-dd--n-n	1
naju	mïdwa	Pp1-dl--n-n	1
nas	mï	Pp1-pa--b-n	1
nas	mï	Pp1-pa--n-n	1
nass	mï	Pp1-pa--y-n	2
nas	mï	Pp1-pa--y-n	2
nan	mï	Pp1-pd--n-n	3
nam	mï	Pp1-pd--n-n	3
naêm	mï	Pp1-pd--n-n	3
nan	mï	Pp1-pd--y-n	1
nami	mï	Pp1-pi--n-n	1
my	mï	Pp1-pn--n-n	2
mi	mï	Pp1-pn--n-n	2
mi	mï	Pp1-pn--y-n	1
me	jä	Pp1-sa--b-n	1
mlè	jä	Pp1-sa--n-n	1
me	jä	Pp1-sa--y-n	2
ma	jä	Pp1-sa--y-n	2
mlé	jä	Pp1-sd--n-n	1
mi	jä	Pp1-sd--y-n	1
mle	jä	Pp1-sg--n-n	1
mlu	jä	Pp1-si--n-n	1
mlé	jä	Pp1-sl--n-n	1
ja	jä	Pp1-sn--n-n	1
ja	jä	Pp1-sn--y-n	1
vi	vï	Pp2-dn--y-n	1
uvas	vï	Pp2-pa--n-n	1
uvas	vï	Pp2-pa--y-n	1
uvan	vï	Pp2-pd--n-n	1
vam	vï	Pp2-pd--y-n	3
uvan	vï	Pp2-pd--y-n	3
uam	vï	Pp2-pd--y-n	3
uvas	vï	Pp2-pg--n-n	2
uas	vï	Pp2-pg--n-n	2
vami	vï	Pp2-pi--n-n	3
uvami	vï	Pp2-pi--n-n	3
uami	vï	Pp2-pi--n-n	3
Vi	vï	Pp2-pn--n-n	2
vi	vï	Pp2-pn--n-n	2
vi	vï	Pp2-pn--y-n	1
te	tï	Pp2-sa--b-n	1
tè	tï	Pp2-sa--y-n	2
te	tï	Pp2-sa--y-n	2
