živome	živ	Af	13
tupome	tup	Af	13
suvome	suv	Af	13
slepome	slep	Af	13
skupome	skup	Af	13
utalambasane	utalambasan	Af-fpn	1
nesavladljive	nesavladljiv	Af-fsg	2
druge	drugi	Af-fsg	2
zla	zao	Af-fsn--n	1
prodoran	prodoran	Af-msn--n	1
sve	sav	Af-nsn	3
samozadovoljno	samozadovoljan	Af-nsn	3
crnobrko	crnobrki	Af-nsn	3
nemoguće	nemoguć	Af-nsn--n	1
najmanju	mali	Afcf-a	1
zveketavije	zveketav	Afcfpa	822
zvaničnije	zvaničan	Afcfpa	822
žurnije	žuran	Afcfpa	822
žućkastije	žućkast	Afcfpa	822
žuće	žut	Afcfpa	822
zveketavijim	zveketav	Afcfpd	1644
zveketavijima	zveketav	Afcfpd	1644
zvaničnijim	zvaničan	Afcfpd	1644
zvaničnijima	zvaničan	Afcfpd	1644
žurnijim	žuran	Afcfpd	1644
zveketavijih	zveketav	Afcfpg	822
zvaničnijih	zvaničan	Afcfpg	822
žurnijih	žuran	Afcfpg	822
žućkastijih	žućkast	Afcfpg	822
žućih	žut	Afcfpg	822
zveketavijim	zveketav	Afcfpi	1645
zveketavijima	zveketav	Afcfpi	1645
zvaničnijim	zvaničan	Afcfpi	1645
zvaničnijima	zvaničan	Afcfpi	1645
žurnijim	žuran	Afcfpi	1645
zveketavijim	zveketav	Afcfpl	1644
zveketavijima	zveketav	Afcfpl	1644
zvaničnijim	zvaničan	Afcfpl	1644
zvaničnijima	zvaničan	Afcfpl	1644
žurnijim	žuran	Afcfpl	1644
zveketavije	zveketav	Afcfpn	825
zvaničnije	zvaničan	Afcfpn	825
žurnije	žuran	Afcfpn	825
žućkastije	žućkast	Afcfpn	825
žuće	žut	Afcfpn	825
zveketavije	zveketav	Afcfpv	822
zvaničnije	zvaničan	Afcfpv	822
žurnije	žuran	Afcfpv	822
žućkastije	žućkast	Afcfpv	822
žuće	žut	Afcfpv	822
zveketaviju	zveketav	Afcfsa	823
